"id"	"title"	"user_id"	"category_id"	"created_time"	"updated_time"	"view_count"	"is_solved"	"status"	"report_count"	"like_count"	"dislike_count"
"11"	"123"	"1"		"10/5/2025 07:16:24"	"12/5/2025 06:29:30"	"0"		"NORMAL"	"0"	"0"	"0"
"12"	"为什么有14周结课的课"	"1"		"10/5/2025 07:24:03"	"12/5/2025 08:46:34"	"0"		"CLOSED"	"1"	"0"	"0"
"14"	"数据可设计太麻烦了怎么办"	"1"	"1"	"10/5/2025 07:58:06"	"14/5/2025 00:51:59"	"21"		"NORMAL"	"1"	"0"	"0"
"15"	"辣鸡网络"	"1"	"1"	"10/5/2025 09:03:46"	"11/5/2025 03:05:43"	"1"		"NORMAL"	"1"	"1"	"0"
"16"	"navicat怎么快速生成数据"	"1"	"1"	"11/5/2025 05:34:20"	"11/5/2025 05:34:20"	"0"		"NORMAL"	"0"	"0"	"0"
"1017"	"如何在 Excel 中高效进行数据透视表操作"	"1"	"1"	"11/5/2025 05:43:22"	"11/5/2025 05:43:22"	"0"		"NORMAL"	"0"	"0"	"0"
"1018"	"Python 怎么实现数据的快速清洗"	"1"	"1"	"11/5/2025 05:43:36"	"11/5/2025 05:43:36"	"0"		"NORMAL"	"0"	"0"	"0"
"1019"	"SQL 如何优化复杂查询语句的性能"	"1"	"1"	"11/5/2025 05:43:43"	"11/5/2025 05:43:43"	"0"		"NORMAL"	"0"	"0"	"0"
"1020"	"JavaScript 怎么优化网页的响应速度"	"1"	"1"	"11/5/2025 05:45:28"	"11/5/2025 05:45:28"	"0"		"NORMAL"	"0"	"0"	"0"
"1021"	"Vue.js 如何快速搭建复杂的前端项目"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1022"	"React 怎么优化组件的性能"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1023"	"Spring Boot 如何快速部署微服务"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1024"	"MyBatis 怎么优化数据库查询效率"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1025"	"Docker 如何快速构建和部署容器"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1026"	"Kubernetes 怎么管理大规模容器集群"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1027"	"Linux 怎么快速查找和替换文件内容"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1028"	"Windows 怎么优化系统性能"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1029"	"Mac 怎么解决软件兼容性问题"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1030"	"MySQL 怎么进行高效的数据备份"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1031"	"Oracle 怎么优化存储过程的执行效率"	"1"	"1"	"11/5/2025 05:46:38"	"15/5/2025 07:00:20"	"8"		"NORMAL"	"0"	"0"	"0"
"1032"	"Redis 怎么实现高并发的数据读写"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
"1033"	"Elasticsearch 怎么优化搜索性能"	"1"	"1"	"11/5/2025 05:46:38"	"11/5/2025 05:46:38"	"0"		"NORMAL"	"0"	"0"	"0"
